miRNA	target_accession	score	acc_clean	SYMBOL	ENTREZID
hsa-miR-3185	NM_001304996	84.7577355175	NM_001304996	TMEM170A	124491
hsa-miR-3185	NM_015189	99.7290884737923	NM_015189	EXOC6B	23233
hsa-miR-3185	NM_001177479	89.8471191994454	NM_001177479	HDX	139324
hsa-miR-3185	NM_001278339	86.1943	NM_001278339	KCNIP1	30820
hsa-miR-3185	NM_001004065	82.0692427008	NM_001004065	PALM2AKAP2	445815
hsa-miR-3185	NM_001267570	80.4591	NM_001267570	CREM	1390
hsa-miR-3185	NM_000916	90.06518	NM_000916	OXTR	5021
hsa-miR-3185	NM_003576	91.0708899625	NM_003576	STK24	8428
hsa-miR-3185	NM_001304997	84.7577355175	NM_001304997	TMEM170A	124491
hsa-miR-3185	NM_001314063	81.0149011609	NM_001314063	PFKFB3	5209
hsa-miR-3185	NM_139279	80.1375021392	NM_139279	MCFD2	90411
hsa-miR-3185	NM_001244015	84.0519170551	NM_001244015	PIANP	196500
hsa-miR-3185	NM_004948	82.932557216	NM_004948	DSC1	1823
hsa-miR-3185	NM_001142386	81.6747569747777	NM_001142386	PDK3	5165
hsa-miR-3185	NM_001321935	93.449558266	NM_001321935	FGF14	2259
hsa-miR-3185	NM_004417	81.6236	NM_004417	DUSP1	1843
hsa-miR-3185	NM_001172411	89.8747141222657	NM_001172411	VANGL1	81839
hsa-miR-3185	NM_014827	84.6259739935	NM_014827	ZC3H11A	9877
hsa-miR-3185	NM_207163	82.4798	NM_207163	LMOD2	442721
hsa-miR-3185	NM_001009555	90.05921	NM_001009555	SH3D19	152503
hsa-miR-3185	NM_001281806	81.9538243966	NM_001281806	FSD2	123722
hsa-miR-3185	NM_001195581	92.32087	NM_001195581	ARL14EPL	644100
hsa-miR-3185	NM_001172766	98.6980821868873	NM_001172766	FOXP2	93986
hsa-miR-3185	NM_014592	86.1943	NM_014592	KCNIP1	30820
hsa-miR-3185	NM_016083	83.067708325	NM_016083	CNR1	1268
hsa-miR-3185	NM_001323553	87.8836	NM_001323553	EFR3A	23167
hsa-miR-3185	NM_144594	82.8639733153	NM_144594	GTSF1	121355
hsa-miR-3185	NM_134442	89.0594499023794	NM_134442	CREB1	1385
hsa-miR-3185	NM_001256426	81.7940721362795	NM_001256426	PDLIM5	10611
hsa-miR-3185	NM_001191056	96.7384265793596	NM_001191056	PDE1C	5137
hsa-miR-3185	NM_001007233	85.3961	NM_001007233	ERCC8	1161
hsa-miR-3185	NM_153685	84.0519170551	NM_153685	PIANP	196500
hsa-miR-3185	NM_020228	99.7819742836675	NM_020228	PRDM10	56980
hsa-miR-3185	NM_145273	87.2784	NM_145273	CD300LG	146894
hsa-miR-3185	NM_016291	83.4092	NM_016291	IP6K2	51447
hsa-miR-3185	NM_198847	81.9415	NM_198847	FAM111A	63901
hsa-miR-3185	NM_001321730	99.7290884737923	NM_001321730	EXOC6B	23233
hsa-miR-3185	NM_005591	85.3720685307534	NM_005591	MRE11	4361
hsa-miR-3185	NM_020960	83.4761	NM_020960	GPR107	57720
hsa-miR-3185	NM_005928	90.11469	NM_005928	MFGE8	4240
hsa-miR-3185	NM_002300	80.8356	NM_002300	LDHB	3945
hsa-miR-3185	NM_173178	84.9958	NM_173178	IL36B	27177
hsa-miR-3185	NM_001143979	88.1388153514048	NM_001143979	NDE1	54820
hsa-miR-3185	NM_198798	80.9685	NM_198798	ANKEF1	63926
hsa-miR-3185	NM_024496	84.0014	NM_024496	IRF2BPL	64207
hsa-miR-3185	NM_001256424	94.1929892015513	NM_001256424	GUCY1A2	2977
hsa-miR-3185	NM_025153	95.5419328295562	NM_025153	ATP10B	23120
hsa-miR-3185	NM_015080	87.7984542356	NM_015080	NRXN2	9379
hsa-miR-3185	NM_001283042	81.6198	NM_001283042	USP25	29761
hsa-miR-3185	NM_001321945	93.449558266	NM_001321945	FGF14	2259
hsa-miR-3185	NM_001160133	80.2601457298287	NM_001160133	KCNQ5	56479
hsa-miR-3185	NM_182718	80.4591	NM_182718	CREM	1390
hsa-miR-3185	NM_001322797	84.3907	NM_001322797	IDE	3416
hsa-miR-3185	NM_001243349	90.05921	NM_001243349	SH3D19	152503
hsa-miR-3185	NM_001303472	80.9685	NM_001303472	ANKEF1	63926
hsa-miR-3185	NM_182724	80.4591	NM_182724	CREM	1390
hsa-miR-3185	NM_001303449	84.6893	NM_001303449	SRRM1	10250
hsa-miR-3185	NM_181426	88.6032	NM_181426	CCDC39	339829
hsa-miR-3185	NM_001142521	81.9415	NM_001142521	FAM111A	63901
hsa-miR-3185	NM_001286649	91.0708899625	NM_001286649	STK24	8428
hsa-miR-3185	NM_001301161	85.5674438239	NM_001301161	CDHR3	222256
hsa-miR-3185	NM_018225	80.0467382578	NM_018225	SMU1	55234
hsa-miR-3185	NM_001306091	96.70236183037	NM_001306091	INTS6	26512
hsa-miR-3185	NM_015137	87.8836	NM_015137	EFR3A	23167
hsa-miR-3185	NM_001007122	81.9538243966	NM_001007122	FSD2	123722
hsa-miR-3185	NM_000743	88.546	NM_000743	CHRNA3	1136
hsa-miR-3185	NM_002526	86.5239	NM_002526	NT5E	4907
hsa-miR-3185	NM_078483	87.6678474127	NM_078483	SLC36A1	206358
hsa-miR-3185	NM_001193339	87.6507755375	NM_001193339	SLC13A3	64849
hsa-miR-3185	NM_014846	84.5728	NM_014846	WASHC5	9897
hsa-miR-3185	NM_021101	82.6491095904	NM_021101	CLDN1	9076
hsa-miR-3185	NM_013396	81.6198	NM_013396	USP25	29761
hsa-miR-3185	NM_199438	99.7819742836675	NM_199438	PRDM10	56980
hsa-miR-3185	NM_001178092	87.5287916376245	NM_001178092	BCAT1	586
hsa-miR-3185	NM_001277173	80.673228876	NM_001277173	RBM46	166863
hsa-miR-3185	NM_001318892	84.5522	NM_001318892	ZNF184	7738
hsa-miR-3185	NM_001321938	93.449558266	NM_001321938	FGF14	2259
hsa-miR-3185	NM_001298	91.2259694050484	NM_001298	CNGA3	1261
hsa-miR-3185	NM_001319653	83.2275046702	NM_001319653	OSBPL8	114882
hsa-miR-3185	NM_001040272	87.6584684278723	NM_001040272	ADAMTSL1	92949
hsa-miR-3185	NM_022101	84.9605607516	NM_022101	STEEP1	63932
hsa-miR-3185	NM_014747	82.9023688559999	NM_014747	RIMS3	9783
hsa-miR-3185	NM_005839	84.6893	NM_005839	SRRM1	10250
hsa-miR-3185	NM_001100165	82.4221710063244	NM_001100165	PHACTR2	9749
hsa-miR-3185	NM_198123	89.8090211474	NM_198123	CSMD3	114788
hsa-miR-3185	NM_022096	80.9685	NM_022096	ANKEF1	63926
hsa-miR-3185	NM_001145453	94.3984312262298	NM_001145453	GFRA1	2674
hsa-miR-3185	NM_001128924	90.05921	NM_001128924	SH3D19	152503
hsa-miR-3185	NM_001321931	93.449558266	NM_001321931	FGF14	2259
hsa-miR-3185	NM_001171509	80.1375021392	NM_001171509	MCFD2	90411
hsa-miR-3185	NM_001277171	83.4502562344	NM_001277171	RBM46	166863
hsa-miR-3185	NM_001310320	90.11469	NM_001310320	MFGE8	4240
hsa-miR-3185	NM_004969	84.3907	NM_004969	IDE	3416
hsa-miR-3185	NM_153456	81.1671388555467	NM_153456	HS6ST3	266722
hsa-miR-3185	NM_001031804	95.936204951494	NM_001031804	MAF	4094
hsa-miR-3185	NM_001321733	99.7290884737923	NM_001321733	EXOC6B	23233
hsa-miR-3185	NM_001083893	96.8788372885272	NM_001083893	STRN3	29966
hsa-miR-3185	NM_001251828	95.3884888369806	NM_001251828	MAGEA10	4109
hsa-miR-3185	NM_015562	86.0252771710554	NM_015562	UBXN7	26043
hsa-miR-3185	NM_001084392	81.1425919186	NM_001084392	DDT	1652
hsa-miR-3185	NM_001042481	88.8039	NM_001042481	FRMD6	122786
hsa-miR-3185	NM_001321734	99.7290884737923	NM_001321734	EXOC6B	23233
hsa-miR-3185	NM_001170569	84.9605607516	NM_001170569	STEEP1	63932
hsa-miR-3185	NM_022074	81.9415	NM_022074	FAM111A	63901
hsa-miR-3185	NM_001167671	91.5992920024405	NM_001167671	LPP	4026
hsa-miR-3185	NM_022465	81.9623260347144	NM_022465	IKZF4	64375
hsa-miR-3185	NM_001040709	83.7546325176	NM_001040709	SYPL2	284612
hsa-miR-3185	NM_001166120	82.8911	NM_001166120	HSD3B2	3284
hsa-miR-3185	NM_145254	84.7577355175	NM_145254	TMEM170A	124491
hsa-miR-3185	NM_001310319	90.11469	NM_001310319	MFGE8	4240
hsa-miR-3185	NM_001322059	95.4562446005686	NM_001322059	PDE1C	5137
hsa-miR-3185	NM_153217	91.2637	NM_153217	TMEM174	134288
hsa-miR-3185	NM_001314042	82.3690635875687	NM_001314042	KDM5B	10765
hsa-miR-3185	NM_005565	86.3808	NM_005565	LCP2	3937
hsa-miR-3185	NM_020364	84.3569186612908	NM_020364	DAZ3	57054
hsa-miR-3185	NM_176823	92.8479563457523	NM_176823	S100A7A	338324
hsa-miR-3185	NM_014232	84.47226427	NM_014232	VAMP2	6844
hsa-miR-3185	NM_001130691	82.5780973675	NM_001130691	PPP3CA	5530
hsa-miR-3185	NM_005752	87.870289696	NM_005752	CLEC3A	10143
hsa-miR-3185	NM_152308	87.01580127	NM_152308	RMI2	116028
hsa-miR-3185	NM_001267567	80.4591	NM_001267567	CREM	1390
hsa-miR-3185	NM_001321933	93.449558266	NM_001321933	FGF14	2259
hsa-miR-3185	NM_001612	91.75699	NM_001612	ACRV1	56
hsa-miR-3185	NM_001004328	97.9970612470338	NM_001004328	ZNF705A	440077
hsa-miR-3185	NM_001144823	98.031834410662	NM_001144823	DENND4A	10260
hsa-miR-3185	NM_001195416	85.1376362050642	NM_001195416	DCLK1	9201
hsa-miR-3185	NM_177968	89.86	NM_177968	PPM1B	5495
hsa-miR-3185	NM_001267046	88.8039	NM_001267046	FRMD6	122786
hsa-miR-3185	NM_001319655	83.2275046702	NM_001319655	OSBPL8	114882
hsa-miR-3185	NM_138714	95.7653997660158	NM_138714	NFAT5	10725
hsa-miR-3185	NM_000855	94.1929892015513	NM_000855	GUCY1A2	2977
hsa-miR-3185	NM_001256910	88.0726390630462	NM_001256910	DDX21	9188
hsa-miR-3185	NM_001112706	80.3143	NM_001112706	SCIN	85477
hsa-miR-3185	NM_000684	86.608	NM_000684	ADRB1	153
hsa-miR-3185	NM_012095	84.8844288286309	NM_012095	AP3M1	26985
hsa-miR-3185	NM_005295	80.2761	NM_005295	GPR22	2845
hsa-miR-3185	NM_001278340	86.1943	NM_001278340	KCNIP1	30820
hsa-miR-3185	NM_003850	80.9434	NM_003850	SUCLA2	8803
hsa-miR-3185	NM_001321940	93.449558266	NM_001321940	FGF14	2259
hsa-miR-3185	NM_178123	83.23502392	NM_178123	SESTD1	91404
hsa-miR-3185	NM_001256428	81.7940721362795	NM_001256428	PDLIM5	10611
hsa-miR-3185	NM_144573	86.3081	NM_144573	NEXN	91624
hsa-miR-3185	NM_001034838	86.1943	NM_001034838	KCNIP1	30820
hsa-miR-3185	NM_001244755	87.870289696	NM_001244755	CLEC3A	10143
hsa-miR-3185	NM_001100166	82.4221710063244	NM_001100166	PHACTR2	9749
hsa-miR-3185	NM_001270488	90.60709	NM_001270488	TAF11	6882
hsa-miR-3185	NM_001128159	87.1672840428615	NM_001128159	VPS53	55275
hsa-miR-3185	NM_012316	92.9825715111737	NM_012316	KPNA6	23633
hsa-miR-3185	NM_022829	87.6507755375	NM_022829	SLC13A3	64849
hsa-miR-3185	NM_014721	82.4221710063244	NM_014721	PHACTR2	9749
hsa-miR-3185	NM_001267564	80.4591	NM_001267564	CREM	1390
hsa-miR-3185	NM_002006	80.2372195760782	NM_002006	FGF2	2247
hsa-miR-3185	NM_001004441	90.57007	NM_001004441	ANKRD34B	340120
hsa-miR-3185	NM_001323558	87.8836	NM_001323558	EFR3A	23167
hsa-miR-3185	NM_001171507	80.1375021392	NM_001171507	MCFD2	90411
hsa-miR-3185	NM_018651	88.3820727544	NM_018651	ZKSCAN7	55888
hsa-miR-3185	NM_001029998	86.3904	NM_001029998	SLC10A7	84068
hsa-miR-3185	NM_000198	82.8911	NM_000198	HSD3B2	3284
hsa-miR-3185	NM_181571	80.4591	NM_181571	CREM	1390
hsa-miR-3185	NM_001319039	93.79587819392	NM_001319039	FABP7	2173
hsa-miR-3185	NM_019842	80.2601457298287	NM_019842	KCNQ5	56479
hsa-miR-3185	NM_001171511	80.1375021392	NM_001171511	MCFD2	90411
hsa-miR-3185	NM_001322057	95.4562446005686	NM_001322057	PDE1C	5137
hsa-miR-3185	NM_001040108	88.6228418304	NM_001040108	MLH3	27030
hsa-miR-3185	NM_182770	80.4591	NM_182770	CREM	1390
hsa-miR-3185	NM_012141	96.70236183037	NM_012141	INTS6	26512
hsa-miR-3185	NM_001278388	84.0441858231191	NM_001278388	SLC38A1	81539
hsa-miR-3185	NM_001319311	80.8971	NM_001319311	DEPDC4	120863
hsa-miR-3185	NM_001166252	81.8610944759454	NM_001166252	PLPPR4	9890
hsa-miR-3185	NM_001303448	84.6893	NM_001303448	SRRM1	10250
hsa-miR-3185	NM_145055	99.4760185469185	NM_145055	ARK2N	147339
hsa-miR-3185	NM_020107	91.75699	NM_020107	ACRV1	56
hsa-miR-3185	NM_014381	88.6228418304	NM_014381	MLH3	27030
hsa-miR-3185	NM_033128	80.3143	NM_033128	SCIN	85477
hsa-miR-3185	NM_001282526	80.5786354058	NM_001282526	POLR3F	10621
hsa-miR-3185	NM_021048	95.3884888369806	NM_021048	MAGEA10	4109
hsa-miR-3185	NM_001080825	94.5919026285006	NM_001080825	TMEM120B	144404
hsa-miR-3185	NM_001011554	87.6507755375	NM_001011554	SLC13A3	64849
hsa-miR-3185	NM_014491	98.6980821868873	NM_014491	FOXP2	93986
hsa-miR-3185	NM_001160130	80.2601457298287	NM_001160130	KCNQ5	56479
hsa-miR-3185	NM_021637	92.1977045605	NM_021637	TMEM35A	59353
hsa-miR-3185	NM_001319239	84.6259739935	NM_001319239	ZC3H11A	9877
hsa-miR-3185	NM_001660	90.78975	NM_001660	ARF4	378
hsa-miR-3185	NM_007149	84.5522	NM_007149	ZNF184	7738
hsa-miR-3185	NM_001322794	84.3907	NM_001322794	IDE	3416
hsa-miR-3185	NM_000643	87.6886863655	NM_000643	AGL	178
hsa-miR-3185	NM_001136557	83.4761	NM_001136557	GPR107	57720
hsa-miR-3185	NM_001079878	91.2259694050484	NM_001079878	CNGA3	1261
hsa-miR-3185	NM_170606	91.0821493384	NM_170606	KMT2C	58508
hsa-miR-3185	NM_007197	96.993196984	NM_007197	FZD10	11211
hsa-miR-3185	NM_001142519	81.9415	NM_001142519	FAM111A	63901
hsa-miR-3185	NM_001008239	99.4760185469185	NM_001008239	ARK2N	147339
hsa-miR-3185	NM_021961	82.9726866238	NM_021961	TEAD1	7003
hsa-miR-3185	NM_001321942	93.449558266	NM_001321942	FGF14	2259
hsa-miR-3185	NM_001256385	91.3121	NM_001256385	LRRC39	127495
hsa-miR-3185	NM_004379	89.0594499023794	NM_004379	CREB1	1385
