label	seq_len	mfe_kcal_mol	ensemble_mfe	ensemble_diversity	mfe_frequency	disorder_index	locus_name	transcript_id
SRR31451040.31666	670	-310.1	-320.46	102.04	5.00376e-08	0.15229850746268658	LNC_L00295_POLR2J2	SRR31451040.31666
SRR31451025.37590	677	-298.4	-312.92	194.03	5.81929e-11	0.286602658788774	LNC_L00160_SMIM47	SRR31451025.37590
SRR31451020.104249	1292	-339.3	-366.98	392.62	3.13398e-20	0.3038854489164087	LNC_L00281_FKBP6	SRR31451020.104249
