miRNA	target_accession	score	acc_clean	SYMBOL	ENTREZID
hsa-miR-6756-5p	NM_173803	82.4863035936119	NM_173803	MPV17L	255027
hsa-miR-6756-5p	NM_032109	83.008852138479	NM_032109	OTP	23440
hsa-miR-6756-5p	NM_001278121	81.3610980107096	NM_001278121	ZKSCAN8	7745
hsa-miR-6756-5p	NM_001306150	88.9249906739647	NM_001306150	IRX2-DT	153571
hsa-miR-6756-5p	NM_020310	92.0233505082349	NM_020310	MNT	4335
hsa-miR-6756-5p	NM_006298	81.3610980107096	NM_006298	ZKSCAN8	7745
hsa-miR-6756-5p	NM_001008410	88.2166830916265	NM_001008410	STEAP3	55240
hsa-miR-6756-5p	NM_001271908	86.0753503022761	NM_001271908	SPATA33	124045
hsa-miR-6756-5p	NM_001323901	89.4027770970092	NM_001323901	GSG1L	146395
hsa-miR-6756-5p	NM_001205293	90.5003138879834	NM_001205293	CACNA1E	777
hsa-miR-6756-5p	NM_001278710	89.995955458	NM_001278710	NRN1	51299
hsa-miR-6756-5p	NM_138383	83.7083374927638	NM_138383	MTSS2	92154
hsa-miR-6756-5p	NM_001317990	84.7332912670765	NM_001317990	ZBTB7A	51341
hsa-miR-6756-5p	NM_145168	83.1667266166554	NM_145168	SDR42E1	93517
hsa-miR-6756-5p	NM_001195278	92.2825350083347	NM_001195278	TMEM178B	100507421
hsa-miR-6756-5p	NM_015649	90.2316098770924	NM_015649	IRF2BP1	26145
hsa-miR-6756-5p	NM_001280549	93.8292221971452	NM_001280549	PAX5	5079
hsa-miR-6756-5p	NM_015719	90.6318500609889	NM_015719	COL5A3	50509
hsa-miR-6756-5p	NM_000721	90.5003138879834	NM_000721	CACNA1E	777
hsa-miR-6756-5p	NM_004041	81.6633994573618	NM_004041	ARRB1	408
hsa-miR-6756-5p	NM_001282556	85.7977655508718	NM_001282556	HHLA2	11148
hsa-miR-6756-5p	NM_003624	90.4510907950176	NM_003624	RANBP3	8498
hsa-miR-6756-5p	NM_024898	89.0835	NM_024898	DENND1C	79958
hsa-miR-6756-5p	NM_001289091	81.4184	NM_001289091	ZMYM1	79830
hsa-miR-6756-5p	NM_006091	90.5435184374058	NM_006091	CORO2B	10391
hsa-miR-6756-5p	NM_001290331	89.0835	NM_001290331	DENND1C	79958
hsa-miR-6756-5p	NM_006458	86.3560153289286	NM_006458	TRIM3	10612
hsa-miR-6756-5p	NM_001277962	90.9931387973375	NM_001277962	STIM1	6786
hsa-miR-6756-5p	NM_001280552	93.7689145114439	NM_001280552	PAX5	5079
hsa-miR-6756-5p	NM_177937	81.2496	NM_177937	GOLM1	51280
hsa-miR-6756-5p	NM_001286349	87.1189765991373	NM_001286349	KIRREL1	55243
hsa-miR-6756-5p	NM_001316668	82.7604706025523	NM_001316668	DLC1	10395
hsa-miR-6756-5p	NM_004637	94.6776694865	NM_004637	RAB7A	7879
hsa-miR-6756-5p	NM_001257135	80.3597570687596	NM_001257135	LIF	3976
hsa-miR-6756-5p	NM_001308333	87.2857	NM_001308333	POPDC2	64091
hsa-miR-6756-5p	NM_001184942	89.4405830140181	NM_001184942	FAM219A	203259
hsa-miR-6756-5p	NM_001144027	86.9824963046129	NM_001144027	NDOR1	27158
hsa-miR-6756-5p	NM_007320	88.4994612320292	NM_007320	RANBP3	8498
hsa-miR-6756-5p	NM_001303263	94.3249515792556	NM_001303263	ATP1B2	482
hsa-miR-6756-5p	NM_001029882	80.1752292693	NM_001029882	AHDC1	27245
hsa-miR-6756-5p	NM_001098815	84.8219120827	NM_001098815	TESPA1	9840
hsa-miR-6756-5p	NM_001128228	86.1987507312	NM_001128228	TPRN	286262
hsa-miR-6756-5p	NM_001318878	84.1935	NM_001318878	STK32C	282974
hsa-miR-6756-5p	NM_001290024	95.7534955438143	NM_001290024	IL12RB1	3594
hsa-miR-6756-5p	NM_001144996	94.2190333732	NM_001144996	ITGA7	3679
hsa-miR-6756-5p	NM_001293696	88.1297362227683	NM_001293696	SEPTIN9	10801
hsa-miR-6756-5p	NM_003156	90.309964998985	NM_003156	STIM1	6786
hsa-miR-6756-5p	NM_001170738	81.3203914957572	NM_001170738	IQSEC3	440073
hsa-miR-6756-5p	NM_003704	85.0598	NM_003704	FAM193A	8603
hsa-miR-6756-5p	NM_001245002	99.5267092206193	NM_001245002	NFIC	4782
hsa-miR-6756-5p	NM_002746	80.7808698325	NM_002746	MAPK3	5595
hsa-miR-6756-5p	NM_006772	98.2395524358306	NM_006772	SYNGAP1	8831
hsa-miR-6756-5p	NM_033119	93.4326279123674	NM_033119	NKD1	85407
hsa-miR-6756-5p	NM_138295	89.0791	NM_138295	PKD1L1	168507
hsa-miR-6756-5p	NM_001039211	81.4237536170934	NM_001039211	ATAD3C	219293
hsa-miR-6756-5p	NM_001163213	89.2535988023203	NM_001163213	FGFR3	2261
hsa-miR-6756-5p	NM_001130524	82.5191373952	NM_001130524	AP1M1	8907
hsa-miR-6756-5p	NM_000166	86.4394	NM_000166	GJB1	2705
hsa-miR-6756-5p	NM_001303237	81.4937	NM_001303237	ISG20	3669
hsa-miR-6756-5p	NM_032364	82.6723	NM_032364	DNAJC14	85406
hsa-miR-6756-5p	NM_182643	82.7604706025523	NM_182643	DLC1	10395
hsa-miR-6756-5p	NM_001289824	81.7614275006222	NM_001289824	FURIN	5045
hsa-miR-6756-5p	NM_031232	90.54732	NM_031232	NECAB3	63941
hsa-miR-6756-5p	NM_000923	91.64665	NM_000923	PDE4C	5143
hsa-miR-6756-5p	NM_032281	91.1983522257353	NM_032281	ELAVL3	1995
hsa-miR-6756-5p	NM_018240	87.1189765991373	NM_018240	KIRREL1	55243
hsa-miR-6756-5p	NM_001290023	95.7686343680857	NM_001290023	IL12RB1	3594
