#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	ORF_Start	coding_probability	label
ENST00000444793.1	1612	52	0.31369	9.663504600524902	1	1367	0.0223498	noncoding
ENST00000667968.2	690	121	0.39071999999999996	11.322727394104007	1	57	0.419167	noncoding
SRR31451020.248540	693	68	0.35201000000000005	6.491490364074706	-1	488	0.0464574	noncoding
ENST00000377614.7	1426	98	0.35148	8.886660575866703	1	303	0.153669	noncoding
ENST00000514120.2	1218	98	0.36117	8.886660575866703	1	6	0.172946	noncoding
ENST00000402994.2	1294	104	0.30603	8.515193748474118	1	6	0.117704	noncoding
SRR31451021.80505	572	58	0.43597	4.508832740783691	1	14	0.136474	noncoding
SRR31451027.223079	700	65	0.41673000000000004	5.562286567687988	1	35	0.102681	noncoding
SRR31451038.26607	835	137	0.42492	5.566549491882324	1	87	0.933915	coding
ENST00000445695.1	655	65	0.42368999999999996	5.562286567687988	1	346	0.108974	noncoding
ENST00000427259.1	730	23	0.42566	4.68656826019287	1	626	0.0119888	noncoding
ENST00000443631.2	559	54	0.35048999999999997	10.806142234802245	1	203	0.0338063	noncoding
ENST00000665063.2	737	92	0.35193	8.934689521789554	1	55	0.122353	noncoding
SRR31451027.181612	378	22	0.44808	9.496338081359863	1	113	0.0139199	noncoding
ENST00000663000.1	2434	68	0.28187	8.63581409454346	1	1311	0.0316561	noncoding
SRR31451022.61721	731	51	0.42184999999999995	8.02420253753662	1	384	0.0335609	noncoding
SRR31451025.275175	347	38	0.43657999999999997	11.999967765808105	1	53	0.0368034	noncoding
SRR31451025.754	1098	115	0.33807	9.331943702697757	1	435	0.233242	noncoding
ENST00000663097.1	525	115	0.37097	9.331943702697757	1	87	0.350782	noncoding
ENST00000436596.2	907	62	0.29056000000000004	9.689485359191895	1	628	0.0301693	noncoding
SRR31451036.166390	469	62	0.40159	9.689485359191895	1	190	0.064414	noncoding
SRR31451025.47028	428	62	0.36859	9.689485359191895	1	149	0.045585	noncoding
SRR31451039.110407	363	62	0.34867000000000004	9.689485359191895	1	84	0.0385981	noncoding
ENST00000416970.5	783	68	0.245	5.082224464416503	1	196	0.186649	noncoding
ENST00000653276.1	898	115	0.32666	9.331943702697757	1	460	0.202171	noncoding
SRR31451025.35784	857	115	0.34751	9.331943702697757	1	419	0.262787	noncoding
ENST00000496793.3	1118	177	0.38501	7.7549642562866214	1	251	0.96036	coding
ENST00000371417.4	1392	177	0.37934	7.7549642562866214	1	560	0.954361	coding
ENST00000414949.2	692	95	0.46424999999999994	6.411461067199707	1	214	0.454861	noncoding
ENST00000602810.2	834	49	0.35453999999999997	11.897205162048337	1	297	0.0267925	noncoding
SRR31451020.361240	3032	80	0.27575000000000005	11.480223655700684	1	69	0.0553234	noncoding
SRR31451019.11308	1316	61	0.31897000000000003	9.666792488098146	1	428	0.0309795	noncoding
ENST00000607333.2	709	70	0.40003	10.146566200256348	1	257	0.096107	noncoding
ENST00000375641.6	602	76	0.28503	5.7802640914916985	1	277	0.0779018	noncoding
ENST00000375638.7	840	76	0.30916	5.7802640914916985	1	512	0.0710881	noncoding
ENST00000375635.6	596	76	0.32598	5.7802640914916985	1	271	0.0739934	noncoding
ENST00000375640.7	739	76	0.32421	5.7802640914916985	1	414	0.0734347	noncoding
ENST00000648677.1	698	76	0.35428000000000004	5.7802640914916985	1	373	0.0907203	noncoding
SRR31451020.57917	638	124	0.34574000000000005	8.36459560394287	1	17	0.361881	noncoding
ENST00000614363.4	733	76	0.31785	5.7802640914916985	1	408	0.0719091	noncoding
SRR31451038.15776	827	76	0.30916	5.7802640914916985	1	502	0.0710881	noncoding
SRR31451026.45807	535	76	0.32663	5.7802640914916985	1	210	0.0742131	noncoding
SRR31451021.39799	553	58	0.35492	9.617667579650881	1	21	0.0339572	noncoding
SRR31451020.96988	409	38	0.368	5.9257719039916985	1	177	0.0113504	noncoding
SRR31451029.157277	589	79	0.48866999999999994	7.806492805480957	1	31	0.264276	noncoding
ENST00000701517.1	2973	50	0.30777	5.464011955261231	1	1034	0.0227421	noncoding
ENST00000399027.3	1001	38	0.29686999999999997	9.996741676330569	1	17	0.0158995	noncoding
ENST00000606496.2	351	53	0.39278	9.780127906799315	1	28	0.03919	noncoding
ENST00000663931.1	2480	62	0.40473	9.580018043518066	1	1361	0.0655936	noncoding
SRR31451039.103159	1137	64	0.27851000000000004	8.210387229919434	1	653	0.0275556	noncoding
ENST00000658383.1	2579	101	0.34431	5.405126762390137	1	2097	0.313136	noncoding
ENST00000658077.1	1010	65	0.34766	10.01073131561279	1	462	0.0452291	noncoding
SRR31451020.217652-1	413	36	0.39658000000000004	9.69399814605713	1	23	0.0178225	noncoding
ENST00000623910.4	937	65	0.3281	10.01073131561279	1	462	0.0395244	noncoding
ENST00000654795.1	428	38	0.34815	8.503976249694826	1	251	0.010546	noncoding
ENST00000660318.1	421	38	0.36416000000000004	8.503976249694826	1	244	0.0113397	noncoding
ENST00000670094.1	852	65	0.31196	10.01073131561279	1	462	0.0364735	noncoding
SRR31451036.72182	432	36	0.38325000000000004	9.69399814605713	1	44	0.0161215	noncoding
SRR31451042.106704	343	36	0.37108	9.69399814605713	1	40	0.0149629	noncoding
ENST00000658919.1	629	65	0.34939	10.01073131561279	1	167	0.0458483	noncoding
SRR31451020.50082	757	65	0.33617	10.01073131561279	1	304	0.0416009	noncoding
ENST00000655116.1	335	36	0.34399	9.69399814605713	1	44	0.0133964	noncoding
ENST00000667421.1	256	34	0.36544	9.48924655914307	1	84	0.0125143	noncoding
SRR31451030.80223	925	65	0.35331	10.01073131561279	1	462	0.0473272	noncoding
ENST00000655834.1	583	65	0.3382	10.01073131561279	1	304	0.042183	noncoding
ENST00000691364.2	2423	99	0.29716	6.887544441223145	1	819	0.124752	noncoding
SRR31451032.28699	414	40	0.32863000000000003	5.410185432434082	1	142	0.0129261	noncoding
SRR31451039.158921	392	51	0.43725	4.501102638244629	-1	239	0.0250988	noncoding
SRR31451034.128206	663	90	0.30445	5.0794393539428695	-1	394	0.0726103	noncoding
SRR31451019.42950	611	80	0.33747000000000005	10.651353645324708	1	301	0.0731678	noncoding
